id_respon,timestamp,layanan,komentar_teks,id_pengisian,urut_komentar,label_manual
033-05,09/01/2026 0:34:15,Saran Peningkatan,"Saran saya untuk peningkatan layanan Sistem Informasi (SI) dan Teknologi Informasi (TI) UMSU adalah meningkatkan stabilitas dan kecepatan sistem, terutama pada portal akademik dan MyClass, agar tidak sering mengalami error saat diakses bersamaan. Selain itu, perlu dilakukan optimalisasi aplikasi di berbagai perangkat, khususnya Android, agar semua mahasiswa dapat menggunakan layanan dengan nyaman.
UMSU juga dapat meningkatkan kualitas jaringan WiFi kampus dengan memperluas jangkauan dan menjaga kestabilan koneksi di seluruh area kampus. Di samping itu, layanan helpdesk atau technical support IT diharapkan lebih responsif dan mudah diakses, misalnya dengan menyediakan panduan yang jelas atau sistem pelaporan online, sehingga mahasiswa dapat menyampaikan kendala dengan cepat dan mendapatkan solusi yang efektif.",33,5,
034-01,09/01/2026 1:56:52,Portal Akademik (WEB),Tiap nekan sesuatu pasti balik lagi ke halaman homepage,34,1,
034-02,09/01/2026 1:56:52,MyClass UMSU,"Terlalu berat aplikasi mobilenya, terpaksa harus dari web untuk membuka web nya",34,2,
034-03,09/01/2026 1:56:52,WiFi Kampus,Ngelag,34,3,
034-04,09/01/2026 1:56:52,Helpdesk/Technical Support,Belum pernah make,34,4,
034-05,09/01/2026 1:56:52,Saran Peningkatan,-,34,5,
035-01,09/01/2026 5:52:22,Portal Akademik (WEB),"Saat saya menggunakan portal tersebut servernya kadang sukak down sendiri, dan harus bolak balek gitu masuknya",35,1,
035-02,09/01/2026 5:52:22,MyClass UMSU,Untuk MyClass sejauh ini baik baik saja dan tidak ada kendala,35,2,
035-03,09/01/2026 5:52:22,WiFi Kampus,"Untuk wifi kampus sejauh ini lancar saja, tapi terkadang dia sukak ngelag gitu, tpi itu jarang sih",35,3,
035-04,09/01/2026 5:52:22,Helpdesk/Technical Support,"Kalau ini saya tidak tahu, krna saya gak pernah menghubungi layanan tersebut",35,4,
035-05,09/01/2026 5:52:22,Saran Peningkatan,"Saran saya untuk portal UMSU di tingkatkan lagi biar gak capek bolak balek masuknya, dan untuk yang lainnya sudah oke.",35,5,
036-01,09/01/2026 6:15:32,Portal Akademik (WEB),loadingnya lama dan ngelag,36,1,
036-02,09/01/2026 6:15:32,MyClass UMSU,sebanarnya sudah bagus namun masih serig loading lama jadi kadang membuat hectic,36,2,
036-03,09/01/2026 6:15:32,WiFi Kampus,wifi nya susah tersambung. banyak yang menggunkan kata sandi jadi sulit masuk,36,3,
036-04,09/01/2026 6:15:32,Helpdesk/Technical Support,tidak ada,36,4,
036-05,09/01/2026 6:15:32,Saran Peningkatan,lebih fast lagi,36,5,
037-01,09/01/2026 6:38:50,Portal Akademik (WEB),"pengalaman baik saya menggunakan portal akademik yaitu fiturnya lengkap dan mudah diakses,untuk melihat data informasi dan profile pribadi juga cukup sederhana dan mudah untuk digunakan,hanya saja terkadang server sering terjadi error atau down di waktu tertentu",37,1,
037-02,09/01/2026 6:38:50,MyClass UMSU,"MyClass ini sangat bagus untuk tampilannya,mudah digunakan dan sangat mendukung dalam media pembelajaran di kampus,hanya saja ada beberapa yang perlu penyempurnaan lagi dibagian fitur tombol kembali nya karna di iphone sangat kesusahan untuk fitur kembali",37,2,
037-03,09/01/2026 6:38:50,WiFi Kampus,"untuk saat ini wifi fikti umsu sangat buruk,jaringannya lambat,dan perlu diup lagi untuk kecepatan jaringannya,karna yang akses sangat banyak",37,3,
037-04,09/01/2026 6:38:50,Helpdesk/Technical Support,belum pernah menghubungi it support,37,4,
037-05,09/01/2026 6:38:50,Saran Peningkatan,belum ada,37,5,
038-01,09/01/2026 6:46:26,Portal Akademik (WEB),Portalnya sering tidak menampilkan informasi apa-apa dan menampilkan error padahal sudah login dengan benar,38,1,
038-02,09/01/2026 6:46:26,MyClass UMSU,MyClass cukup baik dan jarang ada masalah saat mengaksesnya,38,2,
038-03,09/01/2026 6:46:26,WiFi Kampus,WiFi kampus UMSU lemot dan susah terhubung sehingga saya lebih sering menggunakan kuota pribadi untuk kebutuhan internet,38,3,
038-04,09/01/2026 6:46:26,Helpdesk/Technical Support,Saya pernah meminta email kampus lewat live chat dan direspon dengan cepat,38,4,
038-05,09/01/2026 6:46:26,Saran Peningkatan,Memperhatikan feedback dan mengecek layanan secara berkala agar mengetahui kurangnya djmana,38,5,
039-01,09/01/2026 7:31:38,Portal Akademik (WEB),"pengalaman baik: memudahkan akses informasi akademik seperti KRS, KHS, jadwal kuliah, dan pengumuman lainnya.
pengalaman buruk: sering mengalami gangguan saat sibuk (pengisian KRS atau pengumuman nilai), sehingga akses menjadi lambat atau tidak bisa dibuka.",39,1,
039-02,09/01/2026 7:31:38,MyClass UMSU,"pengalaman baik: memudahkan proses pembelajaran karena materi, tugas, dan pengumuman dosen tersedia dalam satu platform.
pengalaman buruk: terkadang lambat atau sulit diakses saat banyak mahasiswa login bersamaan, sehingga pengumpulan tugas dan akses materi menjadi terhambat.",39,2,
039-03,09/01/2026 7:31:38,WiFi Kampus,"Pengalaman Baik:
WiFi kampus UMSU membantu mahasiswa mengakses internet untuk keperluan akademik
Pengalaman Buruk:
Koneksi WiFi kampus UMSU sering tidak stabil dan lambat, terutama saat jam ramai, karena banyaknya pengguna yang terhubung secara bersamaan.",39,3,
039-04,09/01/2026 7:31:38,Helpdesk/Technical Support,belum pernah menggunakan helpdesk/technical support it UMSU,39,4,
039-05,09/01/2026 7:31:38,Saran Peningkatan,"Perlu peningkatan stabilitas jaringan dan sistem, serta layanan bantuan TI yang lebih responsif.",39,5,
040-01,09/01/2026 9:26:09,Portal Akademik (WEB),"Pengalaman baik, sih. Portal Akademik (WEB) ini lumayan gampang diakses dan fiturnya lengkap. Cuma kadang suka lemot atau down.",40,1,
040-02,09/01/2026 9:26:09,MyClass UMSU,"Pengalaman saya menggunakan MyClass UMSU cukup baik, karena bisa akses materi dan absen kelas online dengan gampang.",40,2,
040-03,09/01/2026 9:26:09,WiFi Kampus,"Pengalaman saya menggunakan WiFi kampus UMSU lumayan baik, bisa akses internet dengan cepat. Cuma kadang suka nggak terhubung.",40,3,
040-04,09/01/2026 9:26:09,Helpdesk/Technical Support,"Pengalaman saya menggunakan helpdesk/technical support IT UMSU lumayan baik, soalnya responnya cepat waktu saya lupa password akun. Mereka bantu reset password dengan cepat",40,4,
040-05,09/01/2026 9:26:09,Saran Peningkatan,Sarannya perkuat infrastruktur IT biar sistemnya lebih stabil dan nggak suka down.,40,5,
041-01,09/01/2026 9:35:16,Portal Akademik (WEB),Layanan akademik mudah diakses tetapi terkadang adanya ganguan seperti tidak bisa login dll,41,1,
041-02,09/01/2026 9:35:16,MyClass UMSU,Kami tidak menggunakan myclass dalam semester ini,41,2,
041-03,09/01/2026 9:35:16,WiFi Kampus,Jaringan tidak stabil,41,3,
041-04,09/01/2026 9:35:16,Helpdesk/Technical Support,Tidak pernah,41,4,
041-05,09/01/2026 9:35:16,Saran Peningkatan,Kedepanan layanan Umsu menjadi lebih baik,41,5,
042-01,09/01/2026 9:50:00,Portal Akademik (WEB),penggunaan layanan sistem dan teknologi informasi akademik umsu dapat saya gunakan dengan baik,42,1,
042-02,09/01/2026 9:50:00,MyClass UMSU,saya pernah ingin mengakses myclass tapi terlalu lama loading servernya.,42,2,
042-03,09/01/2026 9:50:00,WiFi Kampus,terkadang wifinya lambat ketika diperlukan,42,3,
042-04,09/01/2026 9:50:00,Helpdesk/Technical Support,saya belum pernah menghubungi helpdesk/teachical support it umsu,42,4,
042-05,09/01/2026 9:50:00,Saran Peningkatan,"dipertahankan yang sudah membuat penggunya nyaman, dan ditingkatkan lagi layanannya",42,5,
043-01,09/01/2026 10:09:27,Portal Akademik (WEB),selama menggunakan portal umsu/ myclass sejauh ini mudah digunakan tetapi terkadang suka tiba” logout dan harus login jadi memakan waktu,43,1,
043-02,09/01/2026 10:09:27,MyClass UMSU,sejauh ini menggunakan myclass sangat mudah,43,2,
043-03,09/01/2026 10:09:27,WiFi Kampus,"kalau saya memakai wifi di fikti, itu sangat baik mudah di koneksi kan dan jangkauannya juga luas tetapi kalau saya sedang ada perkuliahan di fai wifi sulit untuk digunakan. kadang bisa, kadang koneksi juga terputus dan jangkauannya tidak terlalu luas.",43,3,
043-04,09/01/2026 10:09:27,Helpdesk/Technical Support,saya pernsh menguhubungi helpdesk umsu untuk reset password portal dan e-learning respon mereka sangat cepat dan solutif,43,4,
043-05,09/01/2026 10:09:27,Saran Peningkatan,untuk kualitas layanan yg sudah oke boleh dipertahankan dan untuk layanan yg kurang boleh ditingkatkan lagi untuk mendukung aktivitas perkuliahan,43,5,
044-01,09/01/2026 10:28:50,Portal Akademik (WEB),"untuk kecepatan akses saya rasa sudah cukup baik, masalahnya hanya sering ke logout sendiri ketika pertama kali login",44,1,
044-02,09/01/2026 10:28:50,MyClass UMSU,"myclass umsu saya rasa lebih baik dari elearning sebelumnya. Hanya saja mungkin bisa untuk page utama ketika login, bisa di arahkan ke dashboard seperti elearning dulu",44,2,
044-03,09/01/2026 10:28:50,WiFi Kampus,"untuk wifi FIKTI gedung G udah cukup mumpuni untuk kebutuhan akademik, mungkin ketika terlalu banyak yang pakai bisa lag. Untuk WiFi FAI gedung F agak di ganti la itu",44,3,
044-04,09/01/2026 10:28:50,Helpdesk/Technical Support,"tidak 1 bulan lalu, tapi saya pernah menghubungkan layanan technical support IT UMSU dan pernah juga ke ruangannya, mereka menyambut dan mengarahkan dengan ramah dan baik. Dan live chat ketika meminta akun email universitas pun juga responnya sangat cepat dan di bimbing sampai tuntas.",44,4,
044-05,09/01/2026 10:28:50,Saran Peningkatan,"sarannya mungkin pertahanin kinerja yang selama ini, karena menurutku sangat oke dan para mahasiswa juga terbantu sekali, dan tidak takut untuk berdiskusi dengan mereka karena pelayanannya ramah. Mungkin butuh perbaikan pada website portal umsu melalui web bisa di upgrade seperti elearning yang menjadi myclass",44,5,
045-01,09/01/2026 10:36:45,Portal Akademik (WEB),"Pengalaman saya menggunakan Portal Akademik (WEB) cukup baik, karena fitur seperti KRS, KHS, dan jadwal kuliah mudah diakses dalam satu tempat. Namun, ada pengalaman kurang nyaman saat portal lambat atau sulit diakses pada jam sibuk (misalnya saat pengisian KRS), sehingga proses menjadi lebih lama dan perlu mencoba berulang kali.",45,1,
045-02,09/01/2026 10:36:45,MyClass UMSU,"Pengalaman saya menggunakan MyClass UMSU cukup baik karena memudahkan akses materi kuliah, pengumpulan tugas, dan melihat pengumuman dari dosen dalam satu platform. Namun, terkadang muncul kendala teknis seperti laman yang lambat dibuka atau error saat mengunggah tugas, terutama ketika banyak mahasiswa mengakses secara bersamaan.",45,2,
045-03,09/01/2026 10:36:45,WiFi Kampus,"Pada waktu tertentu koneksi menjadi lambat atau tidak stabil, terutama di area yang ramai",45,3,
045-04,09/01/2026 10:36:45,Helpdesk/Technical Support,"Pengalaman saya menggunakan helpdesk/technical support IT UMSU cukup baik, karena petugas responsif dan membantu ketika saya mengalami kendala login pada MyClass/Portal Akademik.",45,4,
045-05,09/01/2026 10:36:45,Saran Peningkatan,"Saran saya untuk peningkatan layanan SI & TI UMSU adalah meningkatkan stabilitas dan kapasitas server, terutama pada jam sibuk seperti pengisian KRS dan pengumpulan tugas, agar sistem tidak lambat atau error.",45,5,
046-01,09/01/2026 11:51:25,Portal Akademik (WEB),"Webnya jarang diketahui, apalagi sama anak semester 1. Terus loginnya bikin bingung kalo masih awal awal. Bagusnya ada pelatihan sih buat gunainnya, atau kalo ada link tutorialnya, baiknya di share. Meskipun mahasiswa bisa search sendiri ya, tapi alangkah baiknya si share aja.",46,1,
046-02,09/01/2026 11:51:25,MyClass UMSU,"Kadang loading dari aplikasinya lama, aku pikir jaringanku yang ga bagus, ternyata yang lain juga gitu. Akhirnya,buka lewat web aja deh. Terus, dulu gabisa download materi myclass lewat aplikasi, harus lewat web baru bisa download materi. Tapi sekarang udah bisa kok.",46,2,
046-03,09/01/2026 11:51:25,WiFi Kampus,"Kalok ganti password bilangin di grup lahh, jangan di tempel aja. Gapapa sih sebenernya, biar ada komplain aja.",46,3,
046-04,09/01/2026 11:51:25,Helpdesk/Technical Support,Gapernah ngehubungin,46,4,
046-05,09/01/2026 11:51:25,Saran Peningkatan,"Banyak banyak di share tutorial penggunaannya, kalo servernya lagi down, dikabarin ya.",46,5,
047-01,13/01/2026 12:32:09,Portal Akademik (WEB),lemott,47,1,
047-02,13/01/2026 12:32:09,MyClass UMSU,lemot,47,2,
047-03,13/01/2026 12:32:09,WiFi Kampus,"lemott, di pertanian jg ga semua kelas wifi nya lancar",47,3,
047-04,13/01/2026 12:32:09,Helpdesk/Technical Support,lemot,47,4,
047-05,13/01/2026 12:32:09,Saran Peningkatan,tingkatkan lagi,47,5,
048-01,28/01/2026 21:12:15,Portal Akademik (WEB),"buruk nya pas login di portal 
baik nyaa mudah dipahamin",48,1,
048-02,28/01/2026 21:12:15,MyClass UMSU,"baik nya mudah diakses
buruknya kenapa harus login ulang di myclalss",48,2,
048-03,28/01/2026 21:12:15,WiFi Kampus,"baiknya tidak lag
buruknya timbul muncul wifinya",48,3,
048-04,28/01/2026 21:12:15,Helpdesk/Technical Support,.,48,4,
048-05,28/01/2026 21:12:15,Saran Peningkatan,akses ke myclas nya diperbaikin lagi,48,5,
049-01,28/01/2026 21:33:39,Portal Akademik (WEB),Pertama kali saya masuk ke portal umsu itu server down parah mungkin karna banyak mahasiswa baru jadi down mungkin,49,1,
049-02,28/01/2026 21:33:39,MyClass UMSU,Normal normal aja,49,2,
049-03,28/01/2026 21:33:39,WiFi Kampus,Tidak ada selama ini bagus bagus aja,49,3,
049-04,28/01/2026 21:33:39,Helpdesk/Technical Support,Saya tidak tau karna ga perna pakai mungkin bagus2 aja kali,49,4,
049-05,28/01/2026 21:33:39,Saran Peningkatan,Tolong perbaiki agar tidak down saat masuk pembelajaran baru,49,5,
050-01,28/01/2026 21:39:03,Portal Akademik (WEB),Agak lag aja,50,1,
050-02,28/01/2026 21:39:03,MyClass UMSU,Agak lag aja,50,2,
050-03,28/01/2026 21:39:03,WiFi Kampus,Agak lag,50,3,
050-04,28/01/2026 21:39:03,Helpdesk/Technical Support,Belun pernah menggunakan,50,4,
050-05,28/01/2026 21:39:03,Saran Peningkatan,Respon lebih cepat,50,5,
051-01,28/01/2026 21:47:06,Portal Akademik (WEB),"Baiknya itu kalau yg dari web itu lengkap apa aja bisa dibuat terkait dengan perkuliahan ya
Contohnya itu: mau nyari KRS,KHS dan pembayaran terkait untuk kuliah itu ada semua lengkap

Tapi buruknya itu kalau udh login pas mau akses sesuatu malaah balik ke laman login
Contohnya nih ya: aku mau akses ke bagian pembayaran wajib dri web itu kadang klau udh dipilih bagian itu kadang tuh webnya balik lagi ke laman login gitu",51,1,
051-02,28/01/2026 21:47:06,MyClass UMSU,"Baiknya itu ya, myclass itu dh kek versi ke-2 dari e-learning karna dari visualnya itu enak dilihat dan rapi tapi,
Buruknya itu, agak asing untuk nyari maatkul kaarna lebih rapi itu kaadang sulit untuk nyari matkul yg mu diambil",51,2,
051-03,28/01/2026 21:47:06,WiFi Kampus,"Enaknya itu wifinya bagus, kencang no debat dan mudah diakses kaarna semua mahasiswa diberikn akses untuk itu
Ga enaknya itu pas agak jauh dri wilayah kampus seperti di belakang gerbang atau pun dihalaaman kampus, itu signal full namun jaaringan kaadanng masuk kaadang ga gitu",51,3,
051-04,28/01/2026 21:47:06,Helpdesk/Technical Support,Baik buruknya saya kurang tau kaarna jarang saya ketahui juga,51,4,
051-05,28/01/2026 21:47:06,Saran Peningkatan,Wifi nya sih yg harusnya karna diera skrng wifi itu penting banget,51,5,
052-01,28/01/2026 21:49:13,Portal Akademik (WEB),"Saya kadang susah untuk login, server down dll",52,1,
052-02,28/01/2026 21:49:13,MyClass UMSU,-,52,2,
052-03,28/01/2026 21:49:13,WiFi Kampus,Susah untuk masuk wifi kampus walaupun sudah tau kata sandi yang benar,52,3,
052-04,28/01/2026 21:49:13,Helpdesk/Technical Support,-,52,4,
052-05,28/01/2026 21:49:13,Saran Peningkatan,-,52,5,
053-01,28/01/2026 21:49:17,Portal Akademik (WEB),Selama menggunakan tidak ada kendala kecuali server down atau tidak dapat di akses,53,1,
053-02,28/01/2026 21:49:17,MyClass UMSU,Sejauh ini tidak ada kendala dalam penggunaan bagi saya,53,2,
053-03,28/01/2026 21:49:17,WiFi Kampus,Wifi nya lumayan,53,3,
053-04,28/01/2026 21:49:17,Helpdesk/Technical Support,Lumayan cepat responnya,53,4,
053-05,28/01/2026 21:49:17,Saran Peningkatan,Pelayanan secara offline nya aja lebih di perlancar,53,5,
054-01,28/01/2026 21:50:34,Portal Akademik (WEB),waktu server time out terlalu cepat sehingga harus login ulang padahal hanya ditinggal sebentar,54,1,
054-02,28/01/2026 21:50:34,MyClass UMSU,-,54,2,
054-03,28/01/2026 21:50:34,WiFi Kampus,-,54,3,
054-04,28/01/2026 21:50:34,Helpdesk/Technical Support,-,54,4,
054-05,28/01/2026 21:50:34,Saran Peningkatan,-,54,5,
055-01,28/01/2026 21:51:29,Portal Akademik (WEB),Portal akademik mudah diakses tetapi kadang servernya down jadi tidak bisa dibuka,55,1,
055-02,28/01/2026 21:51:29,MyClass UMSU,My class mudah di akses dan materi materi yg diberi dosen dpt di akses di myclass,55,2,
055-03,28/01/2026 21:51:29,WiFi Kampus,Wifi kampus lancar,55,3,
055-04,28/01/2026 21:51:29,Helpdesk/Technical Support,-,55,4,
055-05,28/01/2026 21:51:29,Saran Peningkatan,-,55,5,
056-01,28/01/2026 21:55:58,Portal Akademik (WEB),baiknya mudah digunakan buruknya kadang keluar sendiri jadi harus login ulang,56,1,
056-02,28/01/2026 21:55:58,MyClass UMSU,"baiknya mudah diakses, buruknya kadang server eror sehingga kadang keluar sendiri dari myclass sehingga harus login ulang.",56,2,
056-03,28/01/2026 21:55:58,WiFi Kampus,"wifi kampus mudah diakses dimana saja sehingga mempermudah mahasiswa ketika di kampus, minusnya mungkin kadang ngelag karena banyak yang pakai.",56,3,
056-04,28/01/2026 21:55:58,Helpdesk/Technical Support,baiknya mereka merespon dengan cepat,56,4,
056-05,28/01/2026 21:55:58,Saran Peningkatan,menjadi lebih baik lagi.,56,5,
057-01,28/01/2026 21:57:38,Portal Akademik (WEB),.,57,1,
057-02,28/01/2026 21:57:38,MyClass UMSU,.,57,2,
057-03,28/01/2026 21:57:38,WiFi Kampus,"baik, membantu disaat kuota habis",57,3,
057-04,28/01/2026 21:57:38,Helpdesk/Technical Support,tidak pernah menggunakan,57,4,
057-05,28/01/2026 21:57:38,Saran Peningkatan,.,57,5,
058-01,28/01/2026 21:58:33,Portal Akademik (WEB),"baik, portal akademik jika dibuka dari google sering eror saat ingin membuka menu contohnya saat ingin melihat nilai",58,1,
058-02,28/01/2026 21:58:33,MyClass UMSU,"baik, my class mudah dipahami",58,2,
058-03,28/01/2026 21:58:33,WiFi Kampus,jaringan sering lemot mungkin karena terlalu banyak yang make,58,3,
058-04,28/01/2026 21:58:33,Helpdesk/Technical Support,layanan nya baik,58,4,
058-05,28/01/2026 21:58:33,Saran Peningkatan,layanan si dan ti sudah cukup baik,58,5,
059-01,28/01/2026 22:00:12,Portal Akademik (WEB),disaat mau login menu pembayaran atau menu lainnya kadang error,59,1,
059-02,28/01/2026 22:00:12,MyClass UMSU,"aman, baik",59,2,
059-03,28/01/2026 22:00:12,WiFi Kampus,kadang ngelaggg,59,3,
059-04,28/01/2026 22:00:12,Helpdesk/Technical Support,"tidak pernah mengalami kendala, jadi kurang paham🙏",59,4,
059-05,28/01/2026 22:00:12,Saran Peningkatan,semoga makin baik,59,5,
060-01,28/01/2026 22:09:09,Portal Akademik (WEB),sejauh ini sangat baik tapi sering bermasalah pada saat login sering terjadi error,60,1,
060-02,28/01/2026 22:09:09,MyClass UMSU,baik tidak ada kendala sama sekali,60,2,
060-03,28/01/2026 22:09:09,WiFi Kampus,pengalaman saya tentang wifi kampus masi kurang bagus kalo untuk lantai 6 dan 7,60,3,
060-04,28/01/2026 22:09:09,Helpdesk/Technical Support,"baik dan responnya cepat, contohnya ketika lupa sandi untuk my class",60,4,
060-05,28/01/2026 22:09:09,Saran Peningkatan,"Meningkatkan stabilitas dan kecepatan sistem SI & TI, terutama saat jam sibuk seperti pengisian KRS atau akses portal akademik, karena sering terjadi lambat/error yang menghambat aktivitas mahasiswa",60,5,
061-01,28/01/2026 22:11:04,Portal Akademik (WEB),Saat saya menggunakan web lebih sering error,61,1,
061-02,28/01/2026 22:11:04,MyClass UMSU,Mempermudah saya dalam pembelajaran,61,2,
061-03,28/01/2026 22:11:04,WiFi Kampus,Saat saya menggunakan wifi terkadang lama connect dan jaringannya tidak stabil,61,3,
061-04,28/01/2026 22:11:04,Helpdesk/Technical Support,Responnya cepat,61,4,
061-05,28/01/2026 22:11:04,Saran Peningkatan,Sarannya semoga dapat diperbaiki sehingga untuk masuk web tidak error,61,5,
062-01,28/01/2026 22:15:52,Portal Akademik (WEB),"Burik, masih banyak celah keamanan nya. Banyak bug",62,1,
062-02,28/01/2026 22:15:52,MyClass UMSU,Belum pernah pake. Tapi berdasarkan CVE dan version yang digunakan ada indikasi celah keamanan role,62,2,
062-03,28/01/2026 22:15:52,WiFi Kampus,"Boleh lah, cuman hal yang biasa saya dapatkan jika banyak user menggunakan. Jadi ngelag/traffic dikarenakan banyak pengguna yang terhubung.",62,3,
062-04,28/01/2026 22:15:52,Helpdesk/Technical Support,Better lah pelayanan nya,62,4,
062-05,28/01/2026 22:15:52,Saran Peningkatan,Terlalu cuek ketika report keamanan wkwkwk,62,5,
063-01,28/01/2026 22:22:48,Portal Akademik (WEB),sejauh ini saat saya ini menggunakan portal tidak ada kendala sedikit pun,63,1,
063-02,28/01/2026 22:22:48,MyClass UMSU,saat saya ingin menggunakan myclass untuk absen kadang saya mengalami loading yang agak lama pdhl internet saya tidak lag saya harus menunggu beberapa menit untuk memilih mata kuliah yang akan diabsenkan/materi yang sudah disediakan,63,2,
063-03,28/01/2026 22:22:48,WiFi Kampus,tetapi sering sekali wifi nya ngelag mungkin dikarenakan banyak yang memakai wifi tersebut,63,3,
063-04,28/01/2026 22:22:48,Helpdesk/Technical Support,belum pernah memakai helpdesk karena sejauh ini tidak ada kendala,63,4,
063-05,28/01/2026 22:22:48,Saran Peningkatan,saran saya mohon ditingkatkan lagi wifi yang ada di gedung SI&TI,63,5,
064-01,28/01/2026 22:31:41,Portal Akademik (WEB),"sejauh ini baik sih ya, cuma sesekali ada kendala, kaya error, waktu login terus mau cari krs atau khs, tiba tiba ke log out gt, but so far so good lah",64,1,
064-02,28/01/2026 22:31:41,MyClass UMSU,"jujur ya, antara aku yg kudet atau gmn, tp baru ini dengar myclass biasanya pake e-learning sih, apakah ini sama? cm istilah ny yg beda skrng? dan fyi aku semester ini ikut exchange jd ga ngikuti pembelajaran UMSU",64,2,
064-03,28/01/2026 22:31:41,WiFi Kampus,"nah ini yg paling sering sy gunain, ngebantu kali, gacor, cm saran aja kalo bisa koneksi ny bisa agak jauhan dikit hehe",64,3,
064-04,28/01/2026 22:31:41,Helpdesk/Technical Support,"pernah lupa sandi portal, dan lngsng di selesain masalahnya saat itu jg, good job",64,4,
064-05,28/01/2026 22:31:41,Saran Peningkatan,"pertahankan yang sudah ada, cm kalo bisa perbaiki beberapa aspek yg masih kurang, seperti yg saya ketik di sebelumnya",64,5,
065-01,28/01/2026 22:32:18,Portal Akademik (WEB),Saat pengisian KRS kadang tidak bisa login ke portal,65,1,
065-02,28/01/2026 22:32:18,MyClass UMSU,Lebih mudah untuk masuk ke Myclass sesuai matkul,65,2,
065-03,28/01/2026 22:32:18,WiFi Kampus,Terkadang tidak ada jaringan dari WiFi nya,65,3,
065-04,28/01/2026 22:32:18,Helpdesk/Technical Support,Saat ini saya belum pernah menggunakan support IT,65,4,
065-05,28/01/2026 22:32:18,Saran Peningkatan,Tidak ada,65,5,
066-01,28/01/2026 22:33:16,Portal Akademik (WEB),Keren,66,1,
066-02,28/01/2026 22:33:16,MyClass UMSU,Keren tapi lambat,66,2,
066-03,28/01/2026 22:33:16,WiFi Kampus,Kere,66,3,
066-04,28/01/2026 22:33:16,Helpdesk/Technical Support,Keren,66,4,
066-05,28/01/2026 22:33:16,Saran Peningkatan,Pakai google atau cara lama,66,5,
067-01,28/01/2026 22:33:39,Portal Akademik (WEB),ketika login sering tibatiba log out sendiri dan harus login ulang. itu mengganggu😥,67,1,
067-02,28/01/2026 22:33:39,MyClass UMSU,myclass simple & mudah ketika tidak sedang eror,67,2,
067-03,28/01/2026 22:33:39,WiFi Kampus,"wifi susah dijangkau, dan koneksinya kurang stabil.",67,3,
067-04,28/01/2026 22:33:39,Helpdesk/Technical Support,baik aja,67,4,
067-05,28/01/2026 22:33:39,Saran Peningkatan,Mohon merespons dengan cepat🙏🏻,67,5,
068-01,28/01/2026 22:36:14,Portal Akademik (WEB),Sangat Baik karena fitur yang digunakan sangat mudah dipahami,68,1,
068-02,28/01/2026 22:36:14,MyClass UMSU,baik dengan apk yang mudah digunakan,68,2,
068-03,28/01/2026 22:36:14,WiFi Kampus,jarang memakai wifi kampus karena sandi yang tidak tahu dan beberapa titik yang tidak bisa dijangkau,68,3,
068-04,28/01/2026 22:36:14,Helpdesk/Technical Support,Saya jarang menggunakan nya,68,4,
068-05,28/01/2026 22:36:14,Saran Peningkatan,Lebih meminimalisir gangguan jaringan yang ada,68,5,
069-01,28/01/2026 22:36:14,Portal Akademik (WEB),"pengalaman saya menggunakan portal cukup baik karena memudahkan akses KRS dan jadwal, meskipun terkadang lambat saat banyak pengguna mengakses bersamaan.",69,1,
069-02,28/01/2026 22:36:14,MyClass UMSU,"pengalaman saya menggunakan MyClass UMSU cukup baik karena memudahkan akses materi dan pengumpulan tugas, meski kadang loading lama.",69,2,
069-03,28/01/2026 22:36:14,WiFi Kampus,pengalaman saya menggunakan WiFi kampus cukup baik dan stabil karena koneksinya lancar saat digunakan untuk akses materi kuliah dan tugas.,69,3,
069-04,28/01/2026 22:36:14,Helpdesk/Technical Support,saya belum pernah menggunakan helpdesk/technical support IT UMSU dikarenakan belum ada kendala.,69,4,
069-05,28/01/2026 22:36:14,Saran Peningkatan,layanan SI & TI UMSU sebaiknya meningkatkan stabilitas server dan kecepatan akses agar sistem tetap lancar saat jam sibuk.,69,5,
070-01,28/01/2026 22:52:20,Portal Akademik (WEB),"sering kesulitan untuk login, contohnya salah pasword, padahal pasword yg dimasukan telah benar dan harus dicoba berkali-kali baru bisa masuk keportal",70,1,
070-02,28/01/2026 22:52:20,MyClass UMSU,selama perkuliahan tidak menggunakan myclass,70,2,
070-03,28/01/2026 22:52:20,WiFi Kampus,"wifi sering disconnect sendiri, mungkin karna penggunanya terlalu banyak",70,3,
070-04,28/01/2026 22:52:20,Helpdesk/Technical Support,Tidak pernah menghubungi layanan bantuan,70,4,
070-05,28/01/2026 22:52:20,Saran Peningkatan,Tidak pernah menghubungi layanan bantuan,70,5,
071-01,28/01/2026 22:53:30,Portal Akademik (WEB),pengalaman buruk saya eror saat login,71,1,
071-02,28/01/2026 22:53:30,MyClass UMSU,pengalaman buruk saya sering eror saat login ke web contohnya saat mau absen,71,2,
071-03,28/01/2026 22:53:30,WiFi Kampus,saya puas karena mudah terhubungan dan stabil,71,3,
071-04,28/01/2026 22:53:30,Helpdesk/Technical Support,saya tidak pernah menghubungi layanan bantuan technical IT UMSU,71,4,
071-05,28/01/2026 22:53:30,Saran Peningkatan,tidak ada,71,5,
072-01,28/01/2026 22:54:11,Portal Akademik (WEB),"Terkadang sering eror, misalnya ketika membuka bagian tagihan pembayaran, saat di klik malah kembali ke menu log in.",72,1,
